nom,prenom,email,telp,cin
ousama,ben ali,benaliosama3@gmail.com,null,1254781
khalil,ksontini,ksontinikhalil064@gmail.com,null,78945612
Nadia,Jaziri,nadia@example.com,null,0
Alee,Aouini,alee@gmail.com,22085249,1254789
Sara,Ahmed,sara@gmail.com,22563489,9876543
douaa,aouini,douaa@gmail.com,12345678,8523697
manel,alee,manel@gmail.com,14785236,1596237
helaa,hella,hela@gmail.com,78945632,1237896
mohamed,mohamed,mohamed@gmail.com,14785296,9631587
hibaa,hibaa,hiba@gmail.com,14795236,7896524
hanen,hanenn,hanen@gmail.com,789654231,17896527
salma,salma,salma@gmail.com,14785298,78965421
